発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,label
1,6,11,25,1,2,14,7,3,9,1,1
1,28,8,10,1,1,14,7,3,9,20,0
1,12,9,9,1,1,7,2,3,9,1,1
1,27,13,50,1,1,1,7,16,9,30,1
12,20,17,30,1,1,1,7,12,9,30,1
1,7,19,38,2,3,14,7,5,9,1,1
1,12,11,55,1,1,14,7,4,8,1,1
1,6,7,0,2,1,1,7,15,9,30,0
1,14,18,16,5,3,14,7,3,8,1,1
1,15,17,20,1,1,14,7,4,9,1,1
1,14,8,7,1,1,0,7,0,0,20,1
1,23,14,5,1,2,1,7,15,9,30,1
12,30,14,50,5,3,13,7,3,5,1,1
1,25,8,10,1,1,1,1,15,9,30,0
1,14,17,30,1,1,14,7,3,9,1,0
1,21,19,50,1,1,14,7,3,9,1,1
1,24,14,10,1,1,14,7,3,9,1,1
1,22,13,53,1,1,13,7,3,6,1,0
1,14,18,3,1,1,14,7,3,9,1,0
1,7,10,30,1,3,14,7,5,8,1,1
12,29,15,4,2,2,1,1,14,9,30,0
1,3,10,48,2,2,1,1,16,9,30,0
1,27,23,27,1,1,1,1,15,9,30,0
1,17,17,40,1,1,14,7,5,9,1,1
1,14,8,38,1,1,1,4,15,9,30,0
12,22,17,26,1,1,14,7,3,9,1,0
12,30,16,0,5,4,1,7,11,9,30,1
1,25,17,35,1,1,1,8,19,9,30,0
12,24,14,34,1,2,13,7,3,3,1,0
12,30,12,0,2,2,1,1,15,9,30,1
1,6,17,43,5,4,7,1,5,9,1,1
1,12,10,15,1,1,0,7,0,0,20,0
1,25,8,2,1,1,1,7,12,9,30,0
1,5,15,28,1,1,14,7,3,9,1,0
1,13,18,29,5,4,0,7,0,0,20,0
1,12,9,40,1,1,1,7,15,8,30,0
12,19,17,40,1,1,14,7,2,9,1,1
1,21,10,18,1,1,14,7,3,8,20,0
1,13,8,5,1,1,14,7,3,8,1,0
1,30,14,30,1,1,14,7,3,9,1,1
1,4,7,33,1,1,1,1,12,9,30,0
1,13,12,5,1,1,7,1,1,9,1,1
1,3,10,43,1,3,13,7,3,4,1,1
1,20,8,26,1,1,14,7,2,9,1,0
1,6,17,40,5,4,1,7,12,9,30,0
1,9,11,0,2,4,7,7,2,9,1,1
12,25,13,25,5,2,13,7,3,1,1,0
1,31,8,5,1,1,14,7,2,9,1,1
1,17,15,55,1,1,1,7,15,9,30,0
1,22,10,20,1,1,14,7,3,9,1,0
1,4,16,30,5,3,13,7,3,5,1,1
1,31,16,20,1,1,1,7,12,9,30,0
1,13,9,20,5,3,7,1,5,9,20,1
1,14,15,8,2,3,1,7,12,9,30,1
1,9,9,20,1,1,7,7,2,2,1,1
12,6,8,25,2,1,14,7,5,9,1,1
1,6,12,29,5,2,1,1,15,9,30,0
1,16,6,25,1,1,14,7,3,9,20,0
1,18,9,20,5,4,1,7,13,9,30,1
1,19,19,35,1,1,14,7,2,9,1,0
1,14,8,35,1,1,14,7,6,7,1,0
1,31,13,0,1,1,14,7,3,9,1,0
1,21,17,50,1,1,1,7,14,9,30,0
1,12,15,30,1,1,14,7,3,9,1,0
12,29,12,40,1,1,7,7,3,9,1,1
1,9,9,5,1,1,1,8,16,9,30,1
1,4,16,8,5,3,13,7,3,6,1,1
1,4,20,58,1,1,1,7,11,9,30,0
12,9,8,20,1,1,1,1,15,9,30,0
1,18,7,50,1,1,7,7,2,9,1,0
12,23,18,7,1,1,1,7,15,9,30,0
1,19,12,13,1,1,0,7,0,0,20,1
1,18,7,55,1,1,14,7,6,9,1,1
1,3,20,5,1,1,7,1,4,9,1,1
1,4,10,30,1,1,1,7,13,9,30,0
1,5,10,38,1,4,1,7,11,9,30,0
12,31,18,5,1,3,1,1,14,9,30,1
1,15,12,20,1,1,1,7,15,9,30,0
1,28,7,55,1,1,1,7,12,9,30,0
1,17,9,0,1,1,14,7,6,9,1,0
1,25,8,20,1,1,1,7,14,9,30,0
12,29,14,52,1,1,1,1,14,9,30,1
1,22,23,5,1,1,1,1,15,9,30,1
1,6,17,6,5,4,14,7,4,8,1,1
1,8,17,20,1,1,12,7,3,8,20,1
1,3,15,20,1,1,0,7,0,0,20,1
1,7,8,45,1,3,14,7,3,9,1,0
1,12,16,25,2,2,14,7,3,9,1,0
1,15,8,30,1,1,1,1,15,9,30,0
1,13,10,20,1,1,1,1,16,9,30,0
1,6,16,30,5,3,7,7,3,9,1,1
1,12,14,28,1,1,1,7,16,9,30,1
12,9,12,17,1,1,1,1,15,9,30,1
1,9,16,48,1,1,1,7,17,9,30,1
12,26,14,13,2,1,14,7,4,9,1,0
1,20,18,10,1,1,14,7,3,9,1,0
12,27,9,20,1,1,7,7,1,9,1,0
1,9,11,50,1,1,14,7,3,9,1,0
1,4,14,20,1,1,1,7,12,9,30,0
1,7,18,0,1,1,14,7,4,9,1,0
1,14,8,22,1,1,14,7,3,9,1,1
1,17,13,50,1,1,1,1,16,9,30,1
1,21,17,5,1,1,1,1,12,9,30,0
12,28,14,0,1,1,0,7,0,0,20,1
1,6,16,30,5,3,14,7,2,9,1,1
1,11,16,45,1,1,14,7,4,9,1,1
1,9,11,30,1,1,14,7,3,8,1,0
1,7,8,10,1,3,14,7,2,9,1,0
1,11,7,25,3,2,14,7,4,9,1,1
1,5,16,30,1,1,1,1,16,7,30,1
1,13,6,28,1,1,0,7,0,0,20,1
1,5,21,7,1,1,1,1,15,9,30,0
1,19,8,42,1,1,1,1,15,9,30,0
1,15,14,50,1,1,14,7,4,7,1,1
1,7,14,38,1,1,1,7,15,9,30,1
1,1,12,22,1,1,14,7,2,8,1,1
12,18,16,4,1,1,14,7,1,9,1,1
1,5,7,4,1,1,1,7,15,9,30,0
1,7,4,50,2,3,13,7,4,5,1,0
12,30,11,10,2,4,1,7,14,9,30,1
1,3,12,45,1,1,14,7,3,9,1,1
12,25,15,45,1,1,14,7,3,7,1,1
1,30,17,48,1,1,1,1,16,9,30,0
1,5,13,5,2,1,1,1,15,9,30,0
1,14,11,10,1,1,14,7,3,9,1,1
1,18,12,35,1,1,1,1,19,9,30,1
1,21,17,15,1,1,1,1,17,9,30,0
1,21,5,29,1,1,7,7,3,8,1,1
1,2,9,50,2,2,7,7,3,9,1,1
12,29,18,59,1,1,14,7,5,9,1,1
1,19,10,35,2,1,14,7,4,9,1,1
12,29,17,42,5,2,1,1,15,9,30,1
1,7,16,29,1,1,7,7,3,9,1,1
1,22,13,30,2,2,14,7,3,9,1,0
12,31,17,38,5,3,7,7,4,9,1,1
12,27,11,30,5,3,14,7,4,9,1,1
1,5,15,59,1,1,1,1,15,9,30,0
1,5,13,55,1,1,1,7,15,9,30,0
1,9,4,25,1,1,7,1,3,9,1,1
1,5,21,28,2,3,14,1,4,9,1,1
12,30,7,0,3,2,1,7,15,9,30,0
12,25,19,40,5,3,14,7,3,9,1,0
1,20,13,40,1,1,1,2,19,9,30,1
1,28,17,3,1,1,14,7,3,9,1,0
1,14,8,25,1,1,1,7,13,9,30,0
1,18,5,41,2,4,14,7,2,9,1,0
1,26,15,38,1,1,1,7,14,9,30,1
1,27,17,50,1,1,1,1,15,9,30,0
1,14,17,10,1,1,1,7,16,9,30,0
1,18,14,41,1,1,1,8,18,7,30,0
1,6,12,33,1,1,1,1,18,9,30,1
1,28,10,43,1,1,14,7,3,9,20,0
1,13,9,50,1,1,1,7,12,9,30,0
1,10,7,51,1,4,1,7,15,9,30,1
1,10,6,45,2,1,1,1,18,9,30,0
1,2,15,23,1,3,7,1,5,9,1,1
12,29,18,45,1,1,7,1,4,9,1,0
1,2,10,35,1,1,14,7,4,9,1,0
1,4,15,20,1,1,1,1,16,9,30,0
1,19,6,30,1,1,1,7,12,9,30,0
12,25,13,30,1,1,7,7,3,9,1,1
12,28,16,10,1,1,1,1,15,9,30,1
1,31,8,38,1,1,1,7,15,9,30,0
1,13,8,42,1,1,1,7,16,9,30,0
12,23,13,30,2,3,7,1,5,9,1,1
1,14,11,18,1,1,1,7,12,9,30,1
1,7,7,41,1,3,14,7,3,9,1,0
1,30,9,20,2,1,14,7,5,9,1,1
1,18,17,18,5,4,7,1,3,9,1,1
1,6,7,0,1,1,14,7,4,8,1,0
1,1,14,25,1,1,0,7,0,0,20,0
1,3,12,0,2,3,7,1,5,9,1,1
1,18,11,35,1,1,1,1,12,9,30,0
1,25,17,10,1,1,14,7,4,8,1,0
1,16,14,30,1,1,14,7,4,9,1,0
12,26,9,9,1,2,7,1,5,9,1,1
1,28,13,0,1,1,14,7,4,9,1,0
1,12,7,25,1,3,14,7,3,9,1,1
12,13,14,58,1,1,14,7,3,9,1,0
1,27,9,7,2,1,1,7,15,9,30,0
1,3,13,0,1,1,1,1,15,9,30,1
1,16,8,20,1,1,1,2,15,9,30,0
1,17,7,15,1,1,1,7,12,9,30,0
1,6,17,22,5,3,14,7,5,8,1,1
12,22,23,24,2,2,0,7,0,0,20,1
12,20,15,35,1,1,1,7,11,9,30,1
1,3,14,20,1,1,14,7,6,9,1,1
1,8,13,5,1,1,1,7,12,9,30,0
1,7,8,22,1,3,7,1,3,8,1,1
12,8,18,32,3,1,1,1,14,9,30,1
1,16,19,48,1,1,1,8,13,9,30,0
1,6,15,0,5,4,14,7,3,9,1,1
12,25,12,55,1,1,1,2,13,9,30,1
1,30,19,41,1,1,14,7,3,9,1,0
12,24,13,10,1,1,1,7,15,6,30,0
1,7,14,53,1,1,14,7,4,9,1,1
12,28,14,55,1,1,7,1,1,9,1,0
1,27,16,40,1,1,14,7,3,9,1,1
12,9,12,20,1,1,13,7,3,6,20,1
12,31,21,51,2,4,7,1,4,9,1,1
1,30,17,20,1,1,0,7,0,0,20,0
12,17,18,19,3,2,7,7,4,9,20,1
1,20,8,45,1,1,14,7,4,9,1,0
1,17,7,50,1,1,1,7,15,9,30,0
1,16,7,37,1,1,1,1,15,9,30,1
1,11,16,9,3,2,14,7,4,9,1,0
1,17,17,24,1,1,14,7,3,9,1,1
1,12,19,3,1,1,14,7,4,9,1,0
1,23,14,30,2,1,14,7,3,9,1,0
12,12,10,5,1,1,1,1,18,9,30,0
1,8,11,17,1,1,1,1,18,9,30,0
1,22,16,40,1,1,1,7,15,9,30,0
1,24,10,30,1,1,7,7,5,9,1,0
1,13,9,40,1,1,1,7,14,9,30,0
1,30,14,55,1,1,1,7,11,9,30,0
1,22,8,41,1,1,1,7,11,9,30,0
1,15,20,55,1,1,1,8,16,9,30,0
12,26,9,25,1,1,1,1,19,9,30,1
1,2,18,15,5,4,7,1,3,9,1,1
1,1,12,55,1,1,1,7,11,9,30,0
12,25,17,30,2,4,14,1,4,9,1,1
1,7,11,31,1,1,1,7,15,9,30,0
1,11,17,0,1,1,1,7,13,9,30,0
12,29,22,18,1,3,14,7,3,9,1,1
1,30,18,20,1,1,1,1,14,9,30,1
1,6,17,50,5,4,14,7,4,9,1,1
1,14,19,15,1,1,1,1,15,9,30,1
12,30,17,10,1,1,1,7,12,9,30,1
1,27,17,10,1,1,14,7,3,9,1,0
12,11,18,30,1,1,14,7,3,9,1,1
1,1,9,30,1,1,0,7,0,0,20,1
1,14,9,48,1,1,1,8,13,9,30,0
1,14,16,3,1,1,1,1,12,8,30,0
1,5,8,25,1,1,1,7,16,9,30,0
1,18,8,20,1,1,1,7,14,9,30,0
1,15,17,42,1,1,14,7,4,9,1,1
1,12,8,45,1,1,14,1,2,9,1,1
1,14,5,18,1,1,14,7,4,9,1,0
1,21,17,30,2,1,1,7,12,9,30,0
1,17,5,50,1,1,1,7,14,9,30,0
1,19,14,40,1,1,14,7,1,9,1,1
1,31,2,10,1,1,14,7,4,9,1,1
1,6,11,30,1,4,0,7,0,0,20,1
1,7,5,38,1,3,14,1,3,9,1,1
1,8,21,27,1,1,1,7,18,9,30,1
12,25,10,50,1,1,14,7,4,9,1,1
1,26,18,27,1,1,1,1,15,9,30,0
1,4,7,50,1,1,1,7,12,9,30,0
1,20,7,35,5,4,14,7,3,9,1,0
12,9,17,35,1,1,1,7,15,9,30,1
12,27,17,52,1,1,1,7,16,9,30,0
1,24,8,30,1,1,14,7,3,9,1,1
1,11,18,40,2,2,7,7,1,9,1,0
1,14,8,40,1,1,14,7,3,9,1,1
1,4,16,40,5,3,1,7,16,9,30,1
1,1,9,23,1,1,14,7,6,9,1,1
1,28,17,15,1,1,14,7,3,9,1,1
1,9,3,25,1,1,1,1,18,9,30,0
1,6,11,0,5,2,1,7,15,7,30,0
1,25,16,30,3,2,1,8,15,9,30,0
12,19,15,20,1,1,14,7,2,9,1,0
1,23,12,10,2,1,1,7,14,9,30,0
1,13,9,40,1,1,7,7,3,9,1,1
12,18,17,45,1,1,14,7,3,9,1,1
12,23,13,45,1,1,1,1,15,9,30,1
1,8,17,45,1,1,14,7,5,9,1,1
1,27,7,37,1,1,7,7,4,9,1,1
1,13,16,18,2,1,1,7,12,9,30,1
1,25,10,40,1,1,14,7,4,9,1,1
1,2,17,53,1,1,1,1,15,9,30,1
1,7,11,40,1,1,7,7,3,9,1,0
1,2,11,35,2,2,14,7,4,9,1,1
10,29,17,0,1,1,14,7,3,9,1,0
1,22,11,0,1,1,1,7,17,9,30,0
1,17,17,36,1,1,1,8,19,9,30,0
1,17,18,47,1,1,14,7,3,8,1,0
1,23,11,51,2,1,1,1,15,9,30,0
1,8,14,20,1,1,0,7,0,0,20,1
1,16,19,5,1,1,14,7,3,9,1,0
1,22,12,40,1,1,1,7,12,9,30,0
1,19,21,50,1,1,14,7,3,9,1,1
1,24,7,55,1,1,14,7,3,8,1,0
1,18,17,25,5,2,1,1,18,9,30,1
1,12,6,57,1,1,14,7,4,9,1,1
1,8,18,48,1,1,1,7,12,9,30,0
1,8,19,23,1,1,14,7,4,9,1,1
11,26,4,9,1,1,1,1,18,9,30,1
1,10,19,50,1,1,14,7,3,9,1,0
1,28,8,32,1,1,1,7,12,9,30,1
1,12,8,0,1,1,1,7,11,9,30,0
12,28,12,15,1,1,1,7,13,9,30,1
1,10,15,20,1,1,1,7,14,9,30,0
1,5,17,40,1,1,14,7,4,7,1,1
1,12,19,5,1,1,14,7,3,9,1,0
12,25,12,35,1,1,14,7,3,9,20,1
1,12,5,56,1,1,1,7,12,9,30,1
11,21,13,14,2,1,14,7,3,9,1,0
1,15,22,45,1,1,1,1,18,3,30,0
1,13,18,0,1,1,1,7,15,9,30,1
12,25,11,5,1,1,14,7,2,9,1,1
1,1,13,40,1,1,14,7,6,9,1,1
1,21,8,34,1,1,14,7,4,9,20,0
1,17,12,15,1,1,14,1,4,9,1,1
1,25,10,30,2,1,1,7,15,9,30,0
1,4,18,32,5,3,7,7,5,9,1,1
1,23,13,40,2,1,14,7,3,9,1,1
1,3,13,17,1,1,14,1,3,9,1,1
1,8,14,37,1,1,14,7,3,9,1,1
1,26,21,10,1,1,1,8,18,9,30,0
12,27,9,17,1,1,1,1,15,9,30,1
1,2,18,29,1,1,7,1,3,9,1,1
1,3,12,46,1,1,14,7,3,9,1,0
1,1,22,50,2,3,14,7,3,9,1,1
1,2,7,40,5,4,7,7,2,9,1,0
1,11,8,0,3,2,14,7,3,9,20,0
1,5,13,13,1,4,1,7,14,8,30,1
1,1,5,25,2,1,13,7,5,3,1,0
1,2,16,49,5,3,13,7,4,6,1,1
11,29,10,19,1,1,1,7,12,9,30,1
1,10,20,50,1,1,1,1,15,9,30,0
12,16,12,55,1,1,7,7,3,9,1,1
12,25,18,35,1,1,1,1,18,9,30,0
1,7,10,41,1,1,1,1,16,3,30,1
1,25,5,13,1,1,1,7,15,9,30,0
1,18,20,7,1,1,1,7,15,8,30,0
1,6,18,20,5,4,7,1,3,9,1,1
1,8,9,10,1,1,12,7,3,9,1,0
1,8,12,40,1,1,14,7,5,8,20,0
12,25,11,55,1,1,13,7,3,4,1,0
1,18,14,40,1,1,1,7,13,9,30,0
1,12,11,50,1,1,21,7,3,9,20,0
1,4,16,24,5,3,14,7,3,8,1,1
12,30,11,55,1,1,0,7,0,0,20,1
1,5,15,0,1,1,1,7,12,9,30,1
1,1,13,15,1,1,14,7,3,9,1,1
12,22,15,27,2,1,14,7,4,9,1,1
1,2,14,20,1,1,14,7,3,9,1,1
1,7,9,55,1,3,14,7,3,9,1,0
1,5,5,49,1,1,1,7,14,9,30,0
12,24,6,40,3,2,1,2,15,9,30,0
1,6,11,0,5,2,1,7,11,8,30,0
1,31,14,53,1,1,1,7,12,9,30,0
1,2,17,10,1,3,7,1,3,9,1,1
1,17,17,10,5,4,14,1,4,9,1,0
12,17,8,30,2,2,1,7,12,9,30,1
12,29,15,14,2,2,13,7,3,3,1,1
1,11,17,41,1,1,7,7,1,9,20,0
1,30,14,46,2,1,1,7,11,8,30,0
1,12,8,0,1,1,1,1,15,9,30,0
1,18,9,30,1,1,1,1,19,9,30,0
1,1,11,5,1,1,1,7,15,9,30,1
1,3,14,7,1,1,14,1,5,9,1,1
1,2,15,23,1,1,1,7,12,9,30,1
1,17,6,20,1,1,1,7,12,7,30,1
1,21,12,53,1,1,14,7,3,9,20,0
1,12,12,12,1,1,14,7,3,9,1,0
1,15,8,20,1,1,1,7,14,9,30,0
1,14,12,10,1,1,1,7,11,9,30,0
1,29,17,15,1,1,1,7,12,9,30,0
12,28,14,20,1,4,14,2,3,9,1,1
1,22,21,35,1,1,14,7,3,8,20,0
1,14,10,24,1,1,14,7,2,9,1,0
1,16,16,55,1,1,7,2,3,9,20,0
10,30,22,30,1,5,14,7,3,9,1,1
1,31,14,48,1,1,1,7,11,9,30,1
1,23,15,30,1,1,14,7,1,9,1,0
1,13,17,5,1,1,14,7,1,9,1,1
1,13,14,45,2,2,14,7,3,9,1,1
12,30,15,40,5,4,14,7,4,9,1,1
1,15,2,10,1,1,14,7,1,9,1,1
1,7,10,8,1,3,14,7,2,8,1,1
1,14,8,32,1,1,1,8,15,9,30,0
1,2,12,25,1,1,14,7,5,9,1,1
1,17,17,45,2,1,12,7,3,7,1,1
12,30,10,30,1,1,0,7,0,0,20,1
1,25,14,22,2,1,14,7,3,9,1,1
1,7,9,25,1,1,14,7,4,9,1,0
12,26,12,35,1,1,1,1,18,9,30,1
1,21,11,38,1,3,14,7,3,9,1,0
1,13,5,34,1,1,1,8,13,9,30,0
1,16,9,0,1,1,7,1,4,9,1,1
1,6,16,50,5,4,14,7,3,8,1,1
1,31,8,20,1,1,1,7,13,9,30,0
1,30,11,24,2,1,14,7,4,9,1,1
12,25,18,33,5,4,14,7,4,9,1,0
1,26,6,27,2,1,1,8,15,9,30,0
1,20,13,30,1,1,7,1,3,9,1,0
1,3,13,10,1,1,14,7,4,7,1,0
1,26,6,35,2,2,14,7,4,9,1,1
1,1,13,47,1,4,1,7,11,8,30,1
1,1,12,37,5,4,1,1,15,9,30,1
12,19,20,6,1,1,14,7,3,9,1,1
1,12,6,35,1,1,7,7,5,9,1,0
1,12,8,10,1,1,14,7,1,9,1,0
1,5,13,32,1,1,14,7,3,9,20,0
1,31,10,25,1,1,7,7,3,9,1,0
1,18,18,25,2,3,7,1,5,9,1,1
1,14,10,50,1,1,14,7,3,9,1,0
1,26,17,37,1,1,14,7,3,9,20,0
1,27,12,47,1,1,14,7,3,9,20,0
1,11,6,45,3,2,1,1,18,8,30,0
1,18,5,45,1,1,1,1,18,9,30,1
1,2,15,50,1,1,14,7,5,9,1,1
1,8,15,40,1,1,14,7,3,9,1,0
12,13,8,17,3,2,14,7,2,9,1,1
1,6,7,40,1,1,14,7,3,9,1,0
1,22,10,15,1,1,1,7,15,9,30,0
1,4,17,33,2,3,14,7,4,9,1,1
1,25,6,55,1,1,1,1,18,9,30,0
1,29,16,50,1,1,1,7,12,9,30,1
12,29,14,42,1,1,14,7,3,9,1,1
12,16,8,0,1,1,14,7,3,9,1,1
1,6,16,48,1,4,14,7,3,8,1,1
1,24,18,22,1,1,1,7,16,9,30,0
1,28,19,20,1,1,1,8,18,9,30,0
12,27,10,30,1,1,1,4,11,9,30,1
1,21,22,30,5,4,1,7,13,9,30,1
1,9,16,20,1,1,14,7,5,9,1,1
1,28,8,53,2,1,7,8,3,8,1,0
1,10,15,15,1,1,14,7,4,9,1,1
1,13,17,20,1,1,1,7,15,9,30,0
1,28,9,50,1,1,14,7,3,9,1,0
1,5,4,46,1,1,13,7,2,3,20,1
1,18,13,23,1,1,1,7,11,9,30,0
12,29,22,4,5,4,1,7,18,9,30,1
1,22,10,49,1,1,1,7,15,9,30,0
1,8,11,41,1,1,0,7,0,0,20,1
1,18,17,53,2,4,1,7,12,9,30,0
1,18,17,25,5,3,12,7,3,9,1,0
1,23,17,57,2,1,14,7,4,9,1,0
1,20,10,32,1,1,1,7,12,9,30,0
1,21,17,29,1,1,14,7,3,9,1,0
1,13,18,30,1,1,1,7,15,7,30,0
1,4,14,59,1,1,14,7,3,8,20,0
1,7,13,15,1,1,1,7,11,9,30,0
1,20,10,49,1,1,14,7,3,9,1,1
1,21,6,13,1,1,14,7,4,7,20,0
1,6,17,15,2,2,1,1,14,8,30,0
1,19,17,50,2,1,14,7,2,9,20,0
1,3,13,47,1,1,1,7,12,9,30,1
1,3,10,10,2,1,1,1,16,9,30,0
1,11,17,35,3,2,1,1,16,9,30,0
1,17,11,20,1,1,14,7,2,9,1,0
1,21,13,13,1,1,14,7,3,9,20,1
1,12,17,45,1,1,7,1,3,9,1,0
1,14,8,55,1,1,1,1,15,9,30,0
1,13,16,50,2,1,12,7,4,9,1,1
1,17,16,50,1,1,1,7,11,9,30,0
1,12,17,5,5,3,14,7,4,9,1,1
1,2,15,45,1,1,14,7,1,9,1,0
1,25,19,50,3,2,1,1,11,9,30,0
1,18,7,55,5,3,7,1,3,9,1,0
1,20,7,55,1,3,1,7,14,6,30,1
1,18,17,25,1,1,1,7,11,9,30,0
1,31,9,26,1,1,14,7,4,9,1,0
1,12,7,47,2,4,7,7,3,9,1,1
1,7,15,14,1,1,14,7,3,9,1,1
1,28,7,55,1,1,1,7,15,9,30,0
1,15,2,30,1,1,1,1,19,9,30,0
1,22,9,25,1,1,14,7,3,8,1,0
1,9,15,31,1,1,14,7,3,8,1,1
1,3,17,13,1,1,14,7,4,9,1,1
1,18,13,44,1,1,14,7,6,9,1,0
1,31,12,7,1,1,1,7,15,9,30,0
1,8,17,30,1,1,1,7,12,9,30,0
1,24,10,50,2,1,14,7,3,9,1,1
1,9,14,45,1,1,1,7,15,9,30,0
12,23,14,25,2,2,13,7,3,2,1,0
12,31,14,54,5,3,1,7,15,9,30,1
1,6,13,58,3,3,1,7,12,9,30,0
1,25,18,50,1,1,14,7,3,9,1,1
1,14,15,10,1,1,1,7,11,9,30,0
1,20,17,43,2,1,7,1,5,3,1,1
1,7,13,27,2,4,1,1,15,9,30,1
12,25,10,25,5,2,1,7,12,9,30,0
1,13,18,32,1,1,1,1,18,9,30,0
1,18,15,26,1,1,1,7,14,9,30,0
1,26,14,26,1,1,1,1,15,9,30,0
1,11,12,45,3,2,1,1,13,9,30,0
1,18,9,15,5,3,1,7,14,9,30,1
1,7,12,0,1,3,7,7,3,9,1,1
1,7,9,43,1,3,14,7,2,9,1,0
1,4,17,35,1,1,1,7,14,9,30,1
1,26,8,24,2,1,14,7,3,9,20,0
1,7,13,5,1,1,14,7,2,9,1,1
1,14,18,33,1,1,14,7,4,8,20,0
1,20,7,45,1,1,1,7,15,9,30,1
1,8,22,50,1,1,7,1,4,9,1,0
1,5,11,20,1,2,7,1,5,7,1,1
12,28,10,25,5,4,7,1,5,9,1,1
1,25,5,22,1,1,1,1,18,9,30,0
1,21,19,0,5,4,7,1,4,9,1,0
1,5,18,40,1,1,14,7,4,9,1,0
12,12,10,43,1,1,14,7,4,9,1,0
1,5,18,0,1,1,1,7,11,9,30,1
1,22,18,48,1,1,0,7,0,0,20,1
1,2,19,35,2,1,1,1,18,9,30,1
1,29,15,35,1,1,14,7,3,9,1,0
1,21,16,20,1,2,1,7,12,9,30,1
1,17,6,4,1,1,1,1,13,9,30,0
1,21,20,50,1,1,7,1,5,9,1,1
1,24,16,57,1,1,14,7,4,9,1,0
7,3,13,45,2,1,14,7,3,9,1,1
1,7,9,44,1,2,7,7,3,9,1,1
12,21,10,10,1,1,14,7,3,9,1,0
12,8,17,10,3,2,14,7,3,9,1,0
1,6,17,0,2,2,14,7,2,9,1,0
1,18,9,30,1,1,14,7,3,9,1,0
1,5,8,59,1,1,14,7,4,9,1,1
12,27,14,58,2,1,1,7,11,9,30,0
1,31,9,4,1,1,1,7,14,9,30,0
1,25,7,5,1,1,14,7,6,9,1,0
1,27,8,0,2,1,14,7,4,9,1,0
12,14,11,59,1,1,14,5,2,9,1,0
1,19,21,45,1,1,14,7,1,9,20,0
1,14,6,33,1,1,14,7,5,9,1,0
1,8,13,35,2,1,14,7,3,9,1,0
1,3,11,47,1,1,14,7,3,9,1,0
1,8,15,20,1,1,1,2,15,9,30,1
1,7,10,45,1,1,14,7,3,9,1,1
1,1,21,40,1,1,14,7,3,9,20,1
1,6,8,30,1,1,14,7,4,9,1,1
1,9,17,10,1,1,1,1,12,9,30,1
12,19,15,30,1,1,14,7,4,9,1,0
1,12,8,25,1,1,1,1,17,8,30,1
1,11,19,15,2,1,14,7,3,9,1,0
1,5,18,31,2,2,1,1,15,9,30,0
12,11,9,45,1,1,1,7,15,9,30,0
1,21,23,55,1,1,14,7,4,9,1,1
1,15,10,55,1,1,14,7,1,9,1,1
1,23,23,30,3,2,14,7,5,9,1,1
1,6,21,28,5,3,12,7,5,9,1,0
12,24,6,36,1,2,1,1,15,9,30,0
1,24,15,55,1,1,1,1,18,9,30,0
1,12,15,47,1,1,1,7,15,9,30,0
1,22,18,5,1,1,1,7,15,9,30,0
1,17,7,40,1,1,14,7,4,7,1,0
12,27,9,5,1,1,1,1,15,9,30,0
1,11,16,37,3,2,1,1,16,9,30,1
1,5,16,7,1,1,1,7,15,9,30,0
11,12,21,3,1,1,1,7,15,9,30,0
12,23,10,56,1,1,14,7,3,9,1,1
11,12,7,55,1,1,14,7,2,9,1,0
1,12,16,37,1,1,7,1,2,9,1,0
1,6,16,25,5,4,14,1,3,8,1,1
1,4,16,47,1,1,1,7,11,9,30,0
1,31,14,3,1,1,1,1,15,9,30,0
1,3,16,20,1,1,14,7,3,9,1,0
1,13,8,30,1,1,1,7,15,9,30,0
1,6,18,23,5,4,1,1,15,9,30,0
1,10,20,24,1,2,1,1,19,9,30,0
1,12,16,18,1,1,1,7,11,9,30,0
1,22,5,33,1,1,7,7,3,5,1,0
1,5,10,15,1,1,1,1,15,9,30,1
1,2,22,25,1,1,14,7,3,9,1,1
1,10,17,30,1,1,0,7,0,0,20,1
1,13,18,20,1,1,1,7,15,9,30,0
1,12,16,50,1,1,1,1,15,9,30,0
1,7,12,50,1,1,14,7,4,9,1,1
1,5,12,37,1,1,13,7,2,6,1,1
1,31,19,41,1,1,1,1,15,9,30,0
1,3,15,0,2,3,7,1,5,9,1,1
12,30,13,18,2,4,7,1,3,9,1,1
1,2,13,20,1,1,1,7,14,9,30,0
1,12,9,10,1,1,1,7,12,9,30,0
1,5,21,0,2,3,14,7,3,9,1,0
12,29,19,7,3,2,7,1,3,9,1,0
1,8,14,39,1,1,1,7,15,9,30,1
12,14,8,15,1,1,1,7,16,9,30,0
1,22,8,30,1,1,1,1,18,9,30,0
1,9,23,29,1,1,14,7,5,9,1,1
1,5,17,45,1,1,14,7,4,9,1,0
1,13,9,45,5,3,14,1,3,9,1,1
1,10,22,0,2,1,14,7,3,9,1,1
1,28,14,40,1,1,14,7,3,9,1,0
1,29,11,5,1,1,14,7,4,9,1,1
1,22,18,10,1,1,1,1,15,9,30,1
1,2,18,12,1,3,14,7,3,9,1,1
1,24,17,45,2,1,1,7,15,9,30,0
1,13,18,50,1,1,14,7,4,9,1,1
