発生日時月,発生日時日,発生日時時,発生日時分,天候,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,label
1,12,8,32,1,1,1,7,11,8,30,0
1,10,12,34,1,1,14,1,1,9,1,1
1,1,12,53,5,4,14,7,5,9,1,1
1,11,17,35,3,2,1,7,16,9,30,0
1,2,11,18,1,1,1,1,15,9,30,1
1,9,18,11,2,1,14,1,5,9,1,0
1,17,16,49,1,1,14,7,2,9,1,0
1,12,11,24,1,1,1,3,17,9,30,1
12,12,12,50,1,1,1,7,11,9,30,0
1,25,12,26,2,1,7,1,5,7,1,1
1,19,11,5,1,1,13,7,3,4,1,1
12,30,10,5,1,1,14,7,5,9,1,1
1,13,18,28,1,1,1,7,12,9,30,0
1,17,9,2,1,1,14,7,2,9,1,1
1,4,9,12,1,1,14,7,3,9,1,0
1,8,15,0,1,1,14,7,5,9,1,0
1,1,5,10,1,1,7,1,5,9,1,0
1,10,17,55,2,1,14,7,4,9,1,0
1,20,9,25,1,1,14,7,4,9,1,0
1,22,10,18,1,1,1,1,19,9,30,1
1,20,8,30,1,1,1,7,11,9,30,0
1,24,10,22,2,2,1,2,12,9,30,0
12,28,17,40,1,1,1,1,11,9,30,1
1,15,8,12,1,1,1,1,14,9,30,1
1,20,16,37,1,1,1,7,12,9,30,1
1,12,18,5,1,1,14,7,3,8,1,0
1,14,8,8,1,1,14,7,3,9,20,0
1,14,12,0,1,1,14,7,3,9,1,1
1,17,14,30,1,1,14,7,4,9,1,1
1,16,18,42,1,1,7,7,2,9,20,1
1,8,4,45,1,1,1,8,15,9,30,0
12,28,14,14,1,5,0,7,0,0,20,0
1,18,12,45,1,1,1,7,12,9,30,1
1,15,13,40,1,1,14,7,2,8,1,0
1,12,5,38,2,2,14,7,6,9,1,0
1,10,17,44,2,4,13,7,6,1,1,1
1,28,17,55,1,1,14,7,4,7,1,0
1,6,21,10,5,4,12,7,3,7,1,1
1,8,19,40,1,1,1,7,11,8,30,0
1,2,9,50,1,1,7,1,5,9,1,0
12,27,11,30,1,1,14,7,3,9,1,0
1,12,7,45,5,3,1,7,15,9,30,1
1,21,11,55,2,3,7,7,4,9,1,0
12,17,20,20,5,2,1,1,14,9,30,0
12,26,17,15,1,1,1,1,18,9,30,1
1,22,12,36,1,1,14,7,4,9,20,0
12,27,20,45,1,1,14,7,4,7,1,0
12,29,11,47,2,1,14,7,3,9,1,1
1,28,12,20,1,1,14,7,3,9,1,0
12,24,20,35,2,3,7,7,5,9,1,1
12,29,22,6,1,1,1,1,15,9,30,1
12,3,17,55,1,1,1,7,11,1,30,0
12,29,17,15,1,1,14,7,3,9,1,0
1,25,15,50,2,1,1,7,11,9,30,0
1,11,12,45,3,2,14,7,3,9,1,1
1,29,17,33,1,1,7,1,5,8,1,1
1,19,11,55,1,1,14,7,3,9,1,0
1,10,18,9,2,1,14,7,3,9,1,1
12,13,11,35,1,1,14,7,3,9,1,1
1,5,13,35,1,1,14,7,2,9,20,0
1,2,13,43,1,1,14,7,3,9,1,1
1,6,16,55,5,4,14,7,2,8,1,1
1,2,15,57,3,2,7,1,5,9,1,1
1,29,6,25,2,1,1,1,19,9,30,0
1,13,13,25,5,2,1,7,16,9,30,1
12,30,12,18,1,1,11,7,3,9,1,1
12,31,11,49,1,4,1,1,15,9,30,1
1,19,7,25,1,1,1,7,11,9,30,0
1,8,14,6,1,1,14,7,5,9,1,0
1,31,22,40,1,1,7,1,5,7,1,0
1,12,7,5,1,1,1,1,15,9,30,0
1,7,11,14,2,2,7,1,4,9,1,0
1,1,16,0,1,1,14,7,6,9,1,1
1,8,18,25,1,1,14,7,3,9,1,1
1,25,7,57,1,1,1,2,11,7,30,0
1,3,13,50,2,3,14,1,6,9,1,1
1,21,20,10,1,1,14,7,3,9,1,0
1,14,17,47,1,1,7,7,3,9,1,1
12,29,6,40,1,1,14,7,3,9,1,1
1,18,11,58,1,1,7,7,3,8,1,0
12,16,20,43,3,2,1,1,15,9,30,0
1,12,8,10,5,3,7,7,3,9,1,0
1,23,5,42,1,1,7,1,3,9,1,1
12,2,18,44,1,2,1,7,11,9,30,0
1,14,17,47,1,1,1,7,12,9,30,0
1,12,17,3,1,1,14,7,4,9,1,0
1,24,14,3,1,1,1,7,16,9,30,0
1,18,14,45,1,1,7,1,5,9,1,0
1,1,14,0,1,1,1,7,11,9,30,0
1,9,15,10,2,1,14,7,3,9,1,1
